<<<<<<< HEAD
Estado,Mes_Referencia,Ano_Referencia,Projeto,Valor,Unidade,Data_Extracao
DF,12,2025,R-8,2272.97,R$/m²,2026-01-29T09:36:59.283808
ES,12,2025,R8-N,2791.83,R$/m²,2026-01-29T09:36:31.862867
GO,12,2025,R-16,2714.57,R$/m²,2026-01-29T09:35:58.163378
MA,12,2025,R-8,1814.39,R$/m²,2026-01-29T09:38:04.132797
MG,12,2025,R8-N,2354.47,R$/m²,2026-01-29T09:35:46.491934
MT,12,2025,R-8,3116.79,R$/m²,2026-01-29T09:37:12.914086
PE,12,2025,R-8,2102.43,R$/m²,2026-01-29T09:36:46.457494
PR,12,2025,R8-N,2569.33,R$/m²,2026-01-29T09:35:28.419403
RJ,12,2025,R-8,2381.13,R$/m²,2026-01-29T09:36:17.719310
RS,12,2025,R8-N,2719.07,R$/m²,2026-01-29T09:35:51.072728
SC,12,2025,R8-N,3012.64,R$/m²,2026-01-29T09:35:13.389744
SP,12,2025,R8-N,2123.87,R$/m²,2026-01-29T09:35:19.274056
=======
Estado,Mes_Referencia,Ano_Referencia,Projeto,Valor,Unidade,Data_Extracao
ES,12,2025,R8-N,2791.83,R$/m²,2026-02-03T12:10:32.200648
GO,12,2025,R-16,2714.57,R$/m²,2026-02-03T12:10:39.668865
MG,10,2025,R8-N,2351.31,R$/m²,2026-02-03T12:15:05.270377
PR,1,2026,R8-N,2579.49,R$/m²,2026-02-03T12:18:56.889336
RJ,2,2026,R-8,2386.79,R$/m²,2026-02-03T12:19:09.286886
RS,12,2025,R8-N,2719.07,R$/m²,2026-02-03T12:19:24.938053
SC,1,2026,R8-N,3012.64,R$/m²,2026-02-03T12:19:33.386634
SP,12,2025,R8-N,2123.87,R$/m²,2026-02-03T12:19:49.099174
>>>>>>> 4aac03d (feat: refatora scrapers estaduais e alcança 100% de sucesso na extração do CUB)
